TreeOrder	Order	Family	Genus	ID	Repeat_BUSCOs	Accession	Tech_coarse	Tech_fine	Assembly_Length	Log10_Length	Contig_N50	Log10_N50	BUSCO_Single	BUSCO_Duplicate	BUSCO_Complete	BUSCO_Complete	BUSCO_Fragmented	BUSCO_Missing	"BUSCO_Sum (Single, Dup, Frag, Missing)"	LINEs_bases	LINEs_proportion	SINEs_bases	SINEs_proportion	LTRs_bases	LTRs_proportion	DNA_trans_bases	DNA_trans_proportion	tandem_repeats_bases	tandem_repeats_proportion	other_repeats_bases	other_repeats_proportion	unclassified_bases	unclassified_proportion	unclassified_prop_reps	all_repeats_bases	all_repeats_proportion	assembly_length	unique_low_repeat_bases	unique_low_repeat_proportion	TE_BUSCOs	empties																																					
137	Diptera	Culicidae	Anopheles	457	5	GCA_000473375.1	short	short	202998806	8.31	13414	4.13	97.1	1.6	98.7	0.987	0.6	0.7	100	2451890	0.012	2085314	0.0103	600812	0.003	1549390	0.0076	2643140	0.013	188921	0.0009	3705101	0.0182	0.280168018	13224568	0.065146038	202998806	189774238	0.934853962	YES	5																																					
138	Diptera	Culicidae	Anopheles	514	23	GCA_003951495.1	long	pacbio	444530063	8.65	107489	5.03	57.9	41.7	99.6	0.996	0.1	0.3	100	13730367	0.0309	3424905	0.0077	20358850	0.0458	9812843	0.0221	5649283	0.0127	4816450	0.0109	55439909	0.1247	0.489610815	113232607	0.254716312	444543995	331311388	0.745283688	YES	23																																					
139	Diptera	Culicidae	Anopheles	475	22	GCA_013141755.1	long	pacbio	243460342	8.39	38117870	7.58	95.5	3.9	99.4	0.994	0.2	0.4	100	13890626	0.0571	2416847	0.0099	12861047	0.0528	2204727	0.0091	3770274	0.0154	8895349	0.0365	13027895	0.0535	0.228292159	57066765	0.234383809	243475713	186408948	0.765616191	YES	22																																					
140	Diptera	Culicidae	Anopheles	518	25	GCA_002091835.1	short	short	462688933	8.67	38030	4.58	43.8	55	98.8	0.988	0.4	0.8	100	19506936	0.0421	4451132	0.0096	10028682	0.0216	6455738	0.014	7211304	0.0156	392270	0.0008	12042993	0.026	0.200419078	60089055	0.129869229	462688933	402599878	0.870130771	YES	25																																					
141	Diptera	Culicidae	Anopheles	437	1	GCA_000473445.2	short	short	183103254	8.26	161110	5.21	98.5	0.9	99.4	0.994	0.1	0.5	100	1387748	0.0076	148175	0.0008	615280	0.0034	304391	0.0017	3485780	0.0189	26366	0.0001	1345371	0.0073	0.183966988	7313111	0.03993982	183103254	175790143	0.96006018	YES	1																																					
142	Diptera	Culicidae	Anopheles	398	0	GCA_000956275.1	short	short	151110088	8.18	4659	3.67	87.6	0.9	88.5	0.885	5.3	6.2	100	222733	0.0015	96974	0.0006	172075	0.0011	103825	0.0007	2754036	0.0182	11447	0	521089	0.0034	0.134225908	3882179	0.025691064	151110088	147227909	0.974308936	NO	600																																					
143	Diptera	Culicidae	Anopheles	387	0	GCA_000956255.1	short	short	146157495	8.16	10256	4.01	86.4	1.8	88.2	0.882	2.3	9.5	100	419515	0.0029	123345	0.0008	177855	0.0013	137465	0.001	2872004	0.0196	15458	0	608219	0.0041	0.139696467	4353861	0.029788832	146157495	141803634	0.970211168	NO	600																																					
144	Diptera	Culicidae	Anopheles	466	4	GCA_000349145.1	short	short	216307690	8.34	76300	4.88	98.4	0.9	99.3	0.993	0	0.7	100	2918771	0.0135	306547	0.0014	1441217	0.0066	1651674	0.0076	4244693	0.0195	48281	0.0001	6230915	0.0288	0.369960738	16842098	0.077861763	216307690	199465592	0.922138237	YES	4																																					
145	Diptera	Culicidae	Anopheles	493	31	GCA_002091845.1	short	short	326465827	8.51	9003	3.95	79.8	13.8	93.6	0.936	2.1	4.3	100	1192143	0.0037	234621	0.0007	827387	0.0025	3001449	0.0092	5457075	0.0167	171026	0.0005	18217742	0.0558	0.626008202	29101443	0.089140855	326465827	297364384	0.910859145	YES	31																																					
146	Diptera	Culicidae	Anopheles	375	0	GCA_000439205.1	short	short	98320046	7.99	2278	3.36	69.1	0.6	69.7	0.697	12.4	17.9	100	325076	0.0033	31402	0.0003	247742	0.0026	89905	0.0009	1137016	0.0116	28392	0.0002	573822	0.0059	0.235815161	2433355	0.024749327	98320046	95886691	0.975250673	NO	600																																					
147	Diptera	Culicidae	Anopheles	469	5	GCA_000473505.1	short	short	224290125	8.35	53613	4.73	98.5	1.1	99.6	0.996	0.1	0.3	100	1538896	0.0068	280805	0.0012	1587996	0.0071	1086651	0.0049	2744715	0.0122	676008	0.0029	3599751	0.016	0.312618901	11514822	0.051338961	224290125	212775303	0.948661039	YES	5																																					
148	Diptera	Culicidae	Anopheles	465	13	GCA_000441895.2	short	short	220777669	8.34	30137	4.48	96.8	1.2	98	0.98	0.6	1.4	100	1451434	0.0066	396696	0.0018	1602399	0.0072	5697152	0.0258	2509611	0.0113	347778	0.0015	9899586	0.0448	0.451939807	21904656	0.099215904	220777669	198873013	0.900784096	YES	13																																					
149	Diptera	Culicidae	Anopheles	426	5	GCA_013758885.1	long	hi-c	172602732	8.24	25000043	7.4	98.2	0.9	99.1	0.991	0.2	0.7	100	1220057	0.0071	7190	0	1553146	0.009	2176364	0.0126	4773568	0.0276	562704	0.0032	3794515	0.022	0.269352486	14087544	0.081618314	172602732	158515188	0.918381686	YES	5																																					
150	Diptera	Culicidae	Anopheles	412	1	GCA_002846955.1	short	short	162944031	8.21	14431	4.16	97.7	0.6	98.3	0.983	0.9	0.8	100	271001	0.0017	1436	0	421544	0.0026	1272940	0.0078	4498886	0.0276	62791	0.0003	2382594	0.0146	0.267370965	8911192	0.054688668	162944031	154032839	0.945311332	YES	1																																					
151	Diptera	Culicidae	Anopheles	383	2	GCA_000211455.3	short	short	136935538	8.14	115072	5.06	97.6	1.1	98.7	0.987	0.3	1	100	308796	0.0023	270	0	110710	0.0008	884798	0.0064	4743512	0.0345	102532	0.0008	1625567	0.0119	0.209044281	7776185	0.056787194	136935538	129159353	0.943212806	YES	2																																					
152	Diptera	Culicidae	Aedes	536	219	GCA_002204515.1	long	pacbio	1278715314	9.11	11758062	7.07	93.2	5.3	98.5	0.985	0.7	0.8	100	230309956	0.1801	31875829	0.0249	149730902	0.1171	298983185	0.2338	72238377	0.0565	47316508	0.037	187718224	0.1468	0.184367713	1018172981	0.796236348	1278732104	260559123	0.203763652	YES	219																																					
153	Diptera	Culicidae	Aedes	537	225	GCA_001876365.2	long	pacbio	2247289552	9.35	3303944	6.52	15.9	83.2	99.1	0.991	0.1	0.8	100	373423657	0.1661	37331116	0.0166	190469604	0.0847	313876287	0.1397	327792875	0.1459	72876631	0.0325	429343740	0.1911	0.246026198	1745113910	0.776541638	2247289552	502175642	0.223458362	YES	225																																					
154	Diptera	Culicidae	Culex	529	119	GCA_000209185.1	none	none	579042118	8.76	28546	4.46	91.9	3.8	95.7	0.957	1.4	2.9	100	25643852	0.0443	12432562	0.0214	20241956	0.0349	157462903	0.2719	16471697	0.0284	6977828	0.0121	81928140	0.1415	0.255101541	321158938	0.554638304	579042118	257883180	0.445361696	YES	119																																					
155	Diptera	Chaoboridae	Mochlonyx	513	77	GCA_001014845.1	short	short	441264227	8.64	3304	3.52	90.2	0.4	90.6	0.906	5.5	3.9	100	28364916	0.0643	8584320	0.0195	3307367	0.0075	40770949	0.0924	4755462	0.0108	6606459	0.0149	147598448	0.3345	0.615024487	239987921	0.543864438	441264227	201276306	0.456135562	YES	77																																					
156	Diptera	Chaoboridae	Chaoborus	480	0	GCA_001014815.1	short	short	269281158	8.43	2040	3.31	63.9	0.6	64.5	0.645	12	23.5	100	1207066	0.0045	168513	0.0006	1213638	0.0045	13322157	0.0495	11650766	0.0432	806584	0.003	73561987	0.2732	0.721686195	101930711	0.378528939	269281158	167350447	0.621471061	NO	600																																					
157	Diptera	Chironomidae	Chironomus	405	7	GCA_001014505.1	short	short	154533842	8.19	7097	3.85	93.3	1.4	94.7	0.947	1.8	3.5	100	748280	0.0048	348260	0.0022	335686	0.0021	1667064	0.0108	2566156	0.0165	36425	0.0003	8637142	0.0559	0.602352617	14339013	0.092788821	154533842	140194829	0.907211179	YES	7																																					
158	Diptera	Chironomidae	Chironomus	462	3	GCA_000786525.1	none	none	213462749	8.33	7697	3.89	94.4	2	96.4	0.964	1.5	2.1	100	602287	0.0028	91189	0.0004	446133	0.0021	4875558	0.0228	3370646	0.0158	512165	0.0023	10833550	0.0508	0.52256399	20731528	0.097120121	213462749	192731221	0.902879879	YES	3																																					
159	Diptera	Chironomidae	Polypedilum	379	7	GCA_014622435.1	short	short	122915671	8.09	16153	4.21	95.4	2	97.4	0.974	0.4	2.2	100	380168	0.003	229095	0.0019	312255	0.0025	1120716	0.0091	2380688	0.0194	614710	0.0049	18359504	0.1494	0.784690229	23397136	0.190351123	122915671	99518535	0.809648877	YES	7																																					
160	Diptera	Chironomidae	Clunio	371	1	GCA_900005825.1	short	short	85491412	7.93	154800	5.19	97.9	1	98.9	0.989	0.2	0.9	100	213201	0.0025	1087	0	279420	0.0033	169790	0.002	1362475	0.0158	46052	0.0006	1695296	0.0198	0.450000411	3767321	0.04406666	85491412	81724091	0.95593334	YES	1																																					
161	Diptera	Chironomidae	Belgica	372	2	GCA_000775305.1	long	pacbio	89567811	7.95	13715	4.14	96.6	0.7	97.3	0.973	1.4	1.3	100	261271	0.003	876	0	289214	0.0032	260716	0.0029	373008	0.0042	15530	0.0002	1734776	0.0194	0.590986346	2935391	0.032767013	89583723	86648332	0.967232987	YES	2																																					
162	Diptera	Ceratopogonidae	Culicoides	458	14	GCA_900002565.1	none	none	209428516	8.32	166828	5.22	49.9	48.1	98	0.98	0.2	1.8	100	5008516	0.024	39421	0.0002	2115309	0.0101	2290893	0.0109	8772545	0.0419	490743	0.0023	20792322	0.0993	0.526258013	39509749	0.188655059	209428516	169918767	0.811344941	YES	14																																					
163	Siphonaptera	Pulicidae	Ctenocephalides	11	127	GCA_003426905.1	long	pacbio	775452550	8.89	61000	4.79	74.5	20.5	95	0.95	0.9	4.1	100	51352269	0.0663	4535591	0.0058	19417972	0.025	64784461	0.0835	18598864	0.024	67334453	0.0869	184196531	0.2375	0.44901874	410220141	0.529007405	775452550	365232409	0.470992595	YES	127																																					
164	Lepidoptera	Nymphalidae	Heliconius	73	41	GCA_000313835.2	none	none	273786188	8.44	51027	4.71	95.2	0.4	95.6	0.956	1.7	2.7	100	13313557	0.0486	84401	0.0003	2013897	0.0074	7818895	0.0285	5294848	0.0193	61646787	0.2252	3720791	0.0136	0.039627917	93893176	0.342943436	273786188	179893012	0.657056564	YES	41																																					
165	Lepidoptera	Nymphalidae	Heliconius	78	0	GCA_001486105.1	none	none	290420786	8.46	3152	3.5	75.2	0.5	75.7	0.757	15.8	8.5	100	6295651	0.0217	184807	0.0006	1230885	0.0042	4773985	0.0164	6004007	0.0206	55555246	0.1914	3296252	0.0113	0.042619815	77340833	0.266306121	290420786	213079953	0.733693879	NO	600																																					
166	Lepidoptera	Nymphalidae	Heliconius	87	0	GCA_900068665.1	none	none	322345282	8.51	1927	3.28	68.8	1.2	70	0.7	19.3	10.7	100	6571900	0.0204	339799	0.0011	1095284	0.0034	4862764	0.0151	6764601	0.021	62069278	0.1924	3383567	0.0105	0.039765879	85087193	0.263962892	322345282	237258089	0.736037108	NO	600																																					
167	Lepidoptera	Nymphalidae	Heliconius	85	0	GCA_900068505.1	none	none	318072104	8.5	1882	3.27	69.1	0.7	69.8	0.698	19.7	10.5	100	6434058	0.0202	313926	0.001	1116829	0.0035	5312939	0.0167	6504342	0.0204	62401245	0.1961	3400126	0.0107	0.039775248	85483465	0.26875499	318072104	232588639	0.73124501	NO	600																																					
168	Lepidoptera	Nymphalidae	Heliconius	71	0	GCA_900068495.1	none	none	274242794	8.44	1102	3.04	56.9	0.5	57.4	0.574	26.3	16.3	100	5600675	0.0204	525161	0.0019	958974	0.0035	4059736	0.0148	4621955	0.0169	49010554	0.1787	2483796	0.009	0.036927811	67260851	0.245260231	274242794	206981943	0.754739769	NO	600																																					
169	Lepidoptera	Nymphalidae	Heliconius	67	0	GCA_900068675.1	none	none	267031756	8.43	1132	3.05	51.1	1	52.1	0.521	27.5	20.4	100	4741852	0.0178	388182	0.0015	843811	0.0032	3815143	0.0143	4424171	0.0165	41766204	0.1564	2259383	0.0085	0.038795186	58238746	0.218096705	267031756	208793010	0.781903295	NO	600																																					
170	Lepidoptera	Nymphalidae	Heliconius	75	0	GCA_900068235.1	none	none	282335894	8.45	2167	3.34	66.9	0.5	67.4	0.674	20.5	12.1	100	5936898	0.021	300430	0.001	930378	0.0033	4706420	0.0167	5316943	0.0189	53641996	0.1901	2878466	0.0102	0.039050417	73711531	0.261077435	282335894	208624363	0.738922565	NO	600																																					
171	Lepidoptera	Nymphalidae	Heliconius	62	0	GCA_900068275.1	none	none	256832856	8.41	1278	3.11	56.8	0.4	57.2	0.572	26	16.8	100	5144381	0.02	193057	0.0008	898891	0.0035	3812555	0.0148	4716938	0.0184	46266841	0.1801	2785137	0.0109	0.043642009	63817800	0.248479891	256832856	193015056	0.751520109	NO	600																																					
172	Lepidoptera	Nymphalidae	Heliconius	65	0	GCA_900068315.1	none	none	264760125	8.42	1162	3.07	52.8	0.1	52.9	0.529	28.7	18.4	100	5186690	0.0196	351416	0.0013	902531	0.0034	4055384	0.0153	4858205	0.0183	48873625	0.1846	2712733	0.0102	0.04052449	66940584	0.252834841	264760125	197819541	0.747165159	NO	600																																					
173	Lepidoptera	Nymphalidae	Heliconius	74	0	GCA_900068735.1	none	none	279264790	8.45	1241	3.09	62.3	0.4	62.7	0.627	20.2	17.1	100	5188574	0.0186	479681	0.0017	815355	0.0029	3674211	0.0132	4426535	0.0158	45533011	0.1632	2492065	0.009	0.039803348	62609432	0.224193791	279264790	216655358	0.775806209	NO	600																																					
174	Lepidoptera	Nymphalidae	Heliconius	83	0	GCA_900067975.1	none	none	309419125	8.49	1849	3.27	71.2	0.9	72.1	0.721	17.7	10.2	100	6555711	0.0212	293929	0.0009	973333	0.0031	4958436	0.016	6461465	0.0209	57819709	0.1869	3153803	0.0102	0.039316194	80216386	0.259248312	309419125	229202739	0.740751688	NO	600																																					
175	Lepidoptera	Nymphalidae	Heliconius	96	0	GCA_900068365.1	none	none	364783738	8.56	1512	3.18	60	1	61	0.61	24.8	14.2	100	7033018	0.0193	730034	0.002	1058845	0.0029	5683061	0.0156	7523824	0.0205	74144598	0.2032	2861628	0.0078	0.028895116	99035008	0.271489646	364783738	265748730	0.728510354	NO	600																																					
176	Lepidoptera	Nymphalidae	Heliconius	72	0	GCA_001486625.1	none	none	277374261	8.44	3091	3.49	74.5	0.4	74.9	0.749	15.9	9.2	100	5319901	0.0192	299695	0.0011	1191432	0.0043	4567090	0.0164	5769393	0.0207	53425636	0.1927	2762418	0.01	0.03766819	73335565	0.264392106	277374261	204038696	0.735607894	NO	600																																					
177	Lepidoptera	Nymphalidae	Heliconius	100	0	GCA_900068005.1	none	none	381577504	8.58	1590	3.2	58.2	1.3	59.5	0.595	25.8	14.7	100	7030712	0.0184	418588	0.0011	1243378	0.0033	6092626	0.016	7906675	0.0206	76240352	0.1998	4220707	0.011	0.040916943	103153038	0.270333122	381577504	278424466	0.729666878	NO	600																																					
178	Lepidoptera	Nymphalidae	Heliconius	95	0	GCA_900068385.1	none	none	362124033	8.56	1246	3.1	49.5	0.4	49.9	0.499	30.4	19.7	100	6481906	0.0179	429729	0.0012	1135174	0.0032	5543266	0.0153	7611744	0.021	71987019	0.1987	4085153	0.0113	0.041996354	97273991	0.268620644	362124033	264850042	0.731379356	NO	600																																					
179	Lepidoptera	Nymphalidae	Heliconius	80	0	GCA_900068425.1	none	none	295736468	8.47	1502	3.18	63.7	0.5	64.2	0.642	22.3	13.5	100	5634643	0.0191	389154	0.0013	987339	0.0033	4689302	0.0158	6211217	0.0209	55037473	0.1861	2856795	0.0097	0.037685644	75805923	0.256329304	295736468	219930545	0.743670696	NO	600																																					
180	Lepidoptera	Nymphalidae	Heliconius	76	0	GCA_001485985.1	none	none	282526854	8.45	2400	3.38	77.5	0.7	78.2	0.782	13.3	8.5	100	6548727	0.0232	158656	0.0005	1013436	0.0035	4603289	0.0163	5821377	0.0205	52962446	0.1875	2963326	0.0104	0.040006422	74071257	0.262174218	282526854	208455597	0.737825782	NO	600																																					
181	Lepidoptera	Nymphalidae	Heliconius	68	0	GCA_001485905.1	none	none	266946155	8.43	2498	3.4	74.5	0.4	74.9	0.749	15.1	10	100	5598264	0.021	253349	0.0009	892853	0.0033	4277611	0.016	5602959	0.021	49754179	0.1863	2404683	0.009	0.03495997	68783898	0.257669559	266946155	198162257	0.742330441	NO	600																																					
182	Lepidoptera	Nymphalidae	Heliconius	63	0	GCA_001485965.1	none	none	259837422	8.41	2386	3.38	78.9	0.4	79.3	0.793	13.3	7.4	100	5032682	0.0194	252136	0.0009	863242	0.0034	4002120	0.0154	5184886	0.0199	45197928	0.1739	2862417	0.011	0.045151801	63395411	0.243981065	259837422	196442011	0.756018935	NO	600																																					
183	Lepidoptera	Nymphalidae	Heliconius	70	54	GCA_013403645.1	short	short	275868317	8.44	460685	5.66	98.6	0.3	98.9	0.989	0.3	0.8	100	19420000	0.0704	120319	0.0004	1996486	0.0072	7424449	0.027	5394951	0.0195	56089089	0.2032	4459445	0.0162	0.046988644	94904739	0.344021887	275868317	180963578	0.655978113	YES	54																																					
184	Lepidoptera	Nymphalidae	Neruda	89	0	GCA_900068225.1	none	none	337370441	8.53	1154	3.06	51.6	0.4	52	0.52	27.8	20.2	100	7513722	0.0222	980561	0.0029	863268	0.0025	6043117	0.0179	8071346	0.0239	59710039	0.1769	3835059	0.0114	0.044072469	87017112	0.257927493	337370441	250353329	0.742072507	NO	600																																					
185	Lepidoptera	Nymphalidae	Heliconius	102	73	GCA_013403705.1	short	short	391646345	8.59	118192	5.07	97.1	0.1	97.2	0.972	1.5	1.3	100	25933587	0.0662	987073	0.0025	5360733	0.0137	18709096	0.0478	7460958	0.019	122682509	0.3132	9124208	0.0233	0.047956985	190258164	0.48579073	391646345	201388181	0.51420927	YES	73																																					
186	Lepidoptera	Nymphalidae	Heliconius	105	66	GCA_013421065.1	short	short	399744062	8.6	22696	4.36	95.1	0.6	95.7	0.957	1.7	2.6	100	22570526	0.0565	857348	0.0021	5776412	0.0144	18495408	0.0463	7053325	0.0176	126647847	0.3169	11105028	0.0277	0.057686691	192505894	0.481572867	399744062	207238168	0.518427133	YES	66																																					
187	Lepidoptera	Nymphalidae	Agraulis	101	59	GCA_013421085.1	short	short	390746361	8.59	8667	3.94	93.6	1.7	95.3	0.953	2.1	2.6	100	27822203	0.0712	1447426	0.0037	5613727	0.0143	9641412	0.0247	16393826	0.0419	54740746	0.1401	10441006	0.0267	0.082799186	126100346	0.322716623	390746361	264646015	0.677283377	YES	59																																					
188	Lepidoptera	Nymphalidae	Hypolimnas	110	34	GCA_008963455.1	short	short	408793762	8.61	135179	5.13	97.8	0.1	97.9	0.979	0.8	1.3	100	23864062	0.0584	14184918	0.0347	1809804	0.0044	16477374	0.0403	5368901	0.0131	54461113	0.1331	54869657	0.1342	0.320807969	171035829	0.418391485	408793762	237757933	0.581608515	YES	34																																					
189	Lepidoptera	Nymphalidae	Melitaea	103	0	GCA_000716385.1	short	short	389892349	8.59	13489	4.13	82.3	0.1	82.4	0.824	9.7	7.9	100	30375232	0.0779	18835169	0.0483	1490690	0.0038	9681260	0.0248	6058666	0.0155	36986740	0.0948	35141145	0.0901	0.253600516	138568902	0.35538915	389907520	251338618	0.64461085	NO	600																																					
190	Lepidoptera	Nymphalidae	Vanessa	93	30	GCA_002938995.1	short	short	357124929	8.55	254123	5.41	98	0.4	98.4	0.984	0.7	0.9	100	28225896	0.079	31121587	0.0871	1325405	0.0037	4755060	0.0133	5650954	0.0158	18497363	0.0518	22992791	0.0644	0.204254986	112569056	0.31520918	357124929	244555873	0.68479082	YES	30																																					
191	Lepidoptera	Nymphalidae	Pararge	130	0	GCA_900499025.1	none	none	501694711	8.7	11442	4.06	86.5	1.5	88	0.88	7.8	4.2	100	62100407	0.1237	37330620	0.0744	1157712	0.0023	4912925	0.0098	5072664	0.0101	34941547	0.0698	60052663	0.1197	0.29212964	205568538	0.409748266	501694711	296126173	0.590251734	NO	600																																					
192	Lepidoptera	Nymphalidae	Bicyclus	126	125	GCA_900239965.1	none	none	475399557	8.68	78697	4.9	97.1	0.7	97.8	0.978	1	1.2	100	61711665	0.1298	23122473	0.0486	4005298	0.0084	10667029	0.0225	5268084	0.0111	57830348	0.1217	69079365	0.1453	0.298161664	231684262	0.487346399	475399557	243715295	0.512653601	YES	125																																					
193	Lepidoptera	Nymphalidae	Aphantopus	109	149	GCA_902806685.1	none	none	408137179	8.61	2012761	6.3	97.3	0.9	98.2	0.982	0.4	1.4	100	56159709	0.1376	13457899	0.033	12699086	0.0311	10824398	0.0265	4695429	0.0115	70285025	0.1723	56970937	0.1396	0.253100131	225092483	0.551511831	408137179	183044696	0.448488169	YES	149																																					
194	Lepidoptera	Nymphalidae	Maniola	137	0	GCA_009667785.1	long	pacb_oxford	614735551	8.79	44054	4.64	69.6	17.1	86.7	0.867	3.8	9.5	100	48383412	0.0788	18029467	0.0293	8559109	0.0139	15051735	0.0245	6822806	0.0111	77822136	0.1265	77633022	0.1263	0.307699179	252301687	0.410423127	614735551	362433864	0.589576873	NO	600																																					
195	Lepidoptera	Nymphalidae	Danaus	61	29	GCA_009731565.1	short	short	248676414	8.4	108026	5.03	96.2	1.6	97.8	0.978	1.2	1	100	10012488	0.0403	1149591	0.0046	819186	0.0033	3563731	0.0144	4846007	0.0195	7404203	0.0298	6687703	0.0269	0.193942541	34482909	0.13866578	248676414	214193505	0.86133422	YES	29																																					
196	Lepidoptera	Nymphalidae	Danaus	92	0	GCA_010014825.1	short	short	354197052	8.55	14547	4.16	86.2	0.7	86.9	0.869	7.9	5.2	100	25844277	0.0729	6381851	0.018	3394077	0.0095	8345712	0.0236	6495997	0.0183	15844212	0.0448	16584986	0.0468	0.200081596	82891112	0.234025415	354197052	271305940	0.765974585	NO	600																																					
197	Lepidoptera	Nymphalidae	Danaus	86	57	GCA_004959915.1	short	short	322399471	8.51	452245	5.66	92.9	0.9	93.8	0.938	1.1	5.1	100	21255387	0.0659	6849507	0.0212	3390313	0.0105	13557547	0.0421	5653190	0.0175	26370991	0.0818	32101198	0.0996	0.294025893	109178133	0.338642407	322399471	213221338	0.661357593	YES	57																																					
198	Lepidoptera	Riodinidae	Calephelis	149	239	GCA_002245505.1	short	short	808524533	8.91	18819	4.27	94.4	0.6	95	0.95	2.5	2.5	100	66314017	0.082	127323433	0.1575	3950520	0.0049	28615035	0.0354	5931997	0.0072	89242465	0.1104	134379479	0.1662	0.294848998	455756946	0.563689693	808524533	352767587	0.436310307	YES	239																																					
199	Lepidoptera	Riodinidae	Calephelis	151	242	GCA_002245475.1	short	short	855081797	8.93	16821	4.23	91.8	0.6	92.4	0.924	4.4	3.2	100	82126482	0.0961	115711236	0.1353	6074402	0.0071	40219711	0.047	6484383	0.0075	84064643	0.0984	158354283	0.1852	0.321182549	493035140	0.576594124	855081797	362046657	0.423405876	YES	242																																					
200	Lepidoptera	Lycaenidae	Calycopis	146	172	GCA_001625245.1	short	short	728788927	8.86	11646	4.07	92.9	1.7	94.6	0.946	2.6	2.8	100	107418968	0.1474	9743303	0.0133	7082410	0.0097	28235119	0.0388	7924549	0.0109	65483983	0.0897	99358154	0.1364	0.305485711	325246486	0.446283518	728788927	403542441	0.553716482	YES	172																																					
201	Lepidoptera	Pieridae	Zerene	66	32	GCA_012273895.1	short	short	266421107	8.43	43484	4.64	93.2	2.1	95.3	0.953	1.1	3.6	100	6507170	0.0245	10448452	0.0392	579888	0.0022	2785247	0.0105	3746264	0.0141	27074230	0.1017	8962174	0.0337	0.149112534	60103425	0.225595583	266421107	206317682	0.774404417	YES	32																																					
202	Lepidoptera	Pieridae	Colias	84	69	GCA_009982905.1	long	pacbio	318584009	8.5	11686	4.07	90.3	2.2	92.5	0.925	3.1	4.4	100	6852763	0.0216	1889870	0.0059	913449	0.0029	5171346	0.0162	4247177	0.0134	23936280	0.0752	19767626	0.0621	0.31487886	62778511	0.197054809	318584009	255805498	0.802945191	YES	69																																					
203	Lepidoptera	Pieridae	Phoebis	77	35	GCA_001586405.1	short	short	287490372	8.46	26405	4.42	90.3	0.8	91.1	0.911	0.7	8.2	100	12411592	0.0432	9124551	0.0317	932771	0.0033	2798136	0.0098	3519975	0.0123	31826674	0.1107	25342362	0.0882	0.294829262	85956061	0.298987616	287490372	201534311	0.701012384	YES	35																																					
204	Lepidoptera	Pieridae	Pieris	59	33	GCA_001856805.1	short	short	245871251	8.39	54957	4.74	97.3	0.8	98.1	0.981	0.3	1.6	100	21590988	0.0878	6358432	0.0258	659119	0.0027	6059180	0.0246	2929471	0.012	6811578	0.0276	20350616	0.0827	0.314249685	64759384	0.263387377	245871251	181111867	0.736612623	YES	33																																					
205	Lepidoptera	Pieridae	Delias	79	52	GCA_010014985.1	short	short	297182150	8.47	103537	5.02	92.2	4.2	96.4	0.964	1.5	2.1	100	18467421	0.0621	22123507	0.0744	1289074	0.0043	5790930	0.0195	4008233	0.0135	5047153	0.017	10806358	0.0363	0.16001673	67532676	0.227243379	297182150	229649474	0.772756621	YES	52																																					
206	Lepidoptera	Pieridae	Leptidea	141	0	GCA_900199445.1	none	none	643059204	8.81	29811	4.47	83.2	0.9	84.1	0.841	8.6	7.3	100	142123591	0.221	24583955	0.0382	6983396	0.0108	36212121	0.0563	4432886	0.0068	39000271	0.0607	112346539	0.1747	0.307224052	365682759	0.568661107	643059204	277376445	0.431338893	NO	600																																					
207	Lepidoptera	Hesperiidae	Cecropterus	134	123	GCA_002930495.1	short	short	566818879	8.75	7706	3.89	96.5	0.4	96.9	0.969	1.3	1.8	100	28770533	0.0508	72884684	0.1286	2148828	0.0037	16569979	0.0293	6211061	0.011	48711949	0.0859	53105398	0.0937	0.232508023	228402432	0.402943779	566834491	338432059	0.597056221	YES	123																																					
208	Lepidoptera	Hesperiidae	Epargyreus	112	0	GCA_014595695.1	long	pacbio	426663811	8.63	3745284	6.57	78.1	8.1	86.2	0.862	1.5	12.3	100	29799362	0.0699	46911631	0.1099	8757561	0.0206	12190873	0.0286	5015272	0.0118	25660026	0.0602	37220917	0.0873	0.224824213	165555642	0.388023633	426663811	261108169	0.611976367	NO	600																																					
209	Lepidoptera	Hesperiidae	Megathymus	113	48	GCA_003671415.1	short	short	429427782	8.63	92816	4.97	98.3	0.2	98.5	0.985	0.4	1.1	100	40254929	0.0938	20524484	0.0478	5318183	0.0124	10558697	0.0246	5350388	0.0125	26154580	0.0609	33371958	0.0777	0.235788872	141533219	0.329585614	429427782	287894563	0.670414386	YES	48																																					
210	Lepidoptera	Hesperiidae	Lerema	81	32	GCA_001278395.1	short	short	298169737	8.47	16756	4.22	95.3	0.4	95.7	0.957	2.3	2	100	2591725	0.0087	6693865	0.0224	1206202	0.0041	6117858	0.0205	3696601	0.0123	15775494	0.0528	24692931	0.0828	0.406302964	60774676	0.203825769	298169737	237395061	0.796174231	YES	32																																					
211	Lepidoptera	Papilionidae	Papilio	60	34	GCA_001298345.1	short	short	243231804	8.39	521387	5.72	97.1	1.1	98.2	0.982	0.7	1.1	100	13808795	0.0568	6414403	0.0263	515267	0.0021	2874314	0.0118	3166386	0.013	17104912	0.0704	10885610	0.0448	0.19875246	54769687	0.225174858	243231804	188462117	0.774825142	YES	34																																					
